id,original_title,tags,vote_average,release_date
19995,Avatar,"Avatar In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d",7.2,2009-12-10
285,Pirates of the Caribbean: At World's End,"Pirates of the Caribbean: At World's End Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger",6.9,2007-05-19
206647,Spectre,"Spectre A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom",6.3,2015-10-26
49026,The Dark Knight Rises,"The Dark Knight Rises Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman",7.6,2012-07-16
49529,John Carter,"John Carter John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d",6.1,2012-03-07
559,Spider-Man 3,"Spider-Man 3 The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge",5.9,2007-05-01
38757,Tangled,"Tangled When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick",7.4,2010-11-24
99861,Avengers: Age of Ultron,"Avengers: Age of Ultron When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d",7.3,2015-04-22
767,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf",7.4,2009-07-07
209112,Batman v Superman: Dawn of Justice,"Batman v Superman: Dawn of Justice Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe",5.7,2016-03-23
1452,Superman Returns,"Superman Returns Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor",5.4,2006-06-28
10764,Quantum of Solace,"Quantum of Solace Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. Adventure Action Thriller Crime killing undercover secret agent british secret service",6.1,2008-10-30
58,Pirates of the Caribbean: Dead Man's Chest,"Pirates of the Caribbean: Dead Man's Chest Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger",7.0,2006-06-20
57201,The Lone Ranger,"The Lone Ranger The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto",5.9,2013-07-03
49521,Man of Steel,"Man of Steel A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe",6.5,2013-06-12
2454,The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: Prince Caspian One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world",6.3,2008-05-15
24428,The Avengers,"The Avengers When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe",7.4,2012-04-25
1865,Pirates of the Caribbean: On Stranger Tides,"Pirates of the Caribbean: On Stranger Tides Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d",6.4,2011-05-14
41154,Men in Black 3,"Men in Black 3 Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history",6.2,2012-05-23
122917,The Hobbit: The Battle of the Five Armies,"The Hobbit: The Battle of the Five Armies Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery",7.1,2014-12-10
1930,The Amazing Spider-Man,"The Amazing Spider-Man Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero. Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger",6.5,2012-06-27
20662,Robin Hood,"Robin Hood When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey. Action Adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england",6.2,2010-05-12
57158,The Hobbit: The Desolation of Smaug,"The Hobbit: The Desolation of Smaug The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug. Adventure Fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery",7.6,2013-12-11
2268,The Golden Compass,"The Golden Compass After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny. Adventure Fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel",5.8,2007-12-04
254,King Kong,"King Kong In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady. Adventure Drama Action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur",6.6,2005-12-14
597,Titanic,"Titanic 84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. Drama Romance Thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s",7.5,1997-11-18
271110,Captain America: Civil War,"Captain America: Civil War Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies. Adventure Action Science Fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d",7.1,2016-04-27
44833,Battleship,"Battleship When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him. Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri",5.5,2012-04-11
135397,Jurassic World,"Jurassic World Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond. Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror",6.5,2015-06-09
